"","yearID","teamID","lgID","Rank","G","W","L","winpercent","playoffs","payroll","dolperwin","mlbpayroll","avgpayroll","percentofmlb","mlbwin","mlbdolperwin","payrank","paydiff","percentdiff","winpercentdiff","percentofmlbdiff","payincreased","winincreased","percentofmlbincreased","payrankdiff","payrankincreased"
"1","1997","ANA","AL",2,162,84,78,0.519,"N",31135472,370660.380952381,1127285885,40260210.1785714,0.0276,2266,497478.325242718,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1998","ANA","AL",2,162,85,77,0.525,"N",41281000,485658.823529412,1278282871,42609429.0333333,0.0323,2430,526042.333744856,18,10145528,0.3259,0.00600000000000001,0.0047,"Yes","Yes","Yes",-5,"No"
"3","1999","ANA","AL",4,162,70,92,0.432,"N",55388166,791259.514285714,1494228750,49807625,0.0371,2427,615669.035846724,12,14107166,0.3417,-0.093,0.0048,"Yes","No","Yes",-6,"No"
"4","2000","ANA","AL",3,162,82,80,0.506,"N",51464167,627611.792682927,1666135102,55537836.7333333,0.0309,2428,686217.093080725,18,-3923999,-0.0708,0.074,-0.0062,"No","Yes","No",6,"Yes"
"5","2001","ANA","AL",3,162,75,87,0.463,"N",47535167,633802.226666667,1960663313,65355443.7666667,0.0242,2428,807521.957578254,22,-3929000,-0.0763,-0.043,-0.0067,"No","No","No",4,"Yes"
"6","2002","ANA","AL",2,162,99,63,0.611,"Y",61721667,623451.181818182,2024077522,67469250.7333333,0.0305,2425,834671.143092784,15,14186500,0.2984,0.148,0.0063,"Yes","Yes","Yes",-7,"No"
"7","2003","ANA","AL",3,162,77,85,0.475,"N",79031667,1026385.28571429,2128262128,70942070.9333333,0.0371,2429,876188.607657472,12,17310000,0.2805,-0.136,0.0066,"Yes","No","Yes",-3,"No"
"8","2004","ANA","AL",1,162,92,70,0.568,"Y",100534667,1092768.11956522,2070665943,69022198.1,0.0486,2428,852827.818369028,3,21503000,0.2721,0.093,0.0115,"Yes","Yes","Yes",-9,"No"
"9","1998","ARI","NL",5,162,65,97,0.401,"N",32347000,497646.153846154,1278282871,42609429.0333333,0.0253,2430,526042.333744856,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1999","ARI","NL",1,162,100,62,0.617,"Y",68703999,687039.99,1494228750,49807625,0.046,2427,615669.035846724,7,36356999,1.124,0.216,0.0207,"Yes","Yes","Yes",-16,"No"
"11","2000","ARI","NL",3,162,85,77,0.525,"N",81027833,953268.623529412,1666135102,55537836.7333333,0.0486,2428,686217.093080725,5,12323834,0.1794,-0.092,0.0026,"Yes","No","Yes",-2,"No"
"12","2001","ARI","NL",1,162,92,70,0.568,"Y",85082999,924815.206521739,1960663313,65355443.7666667,0.0434,2428,807521.957578254,8,4055166,0.05,0.0429999999999999,-0.0052,"Yes","Yes","No",3,"Yes"
"13","2002","ARI","NL",1,162,98,64,0.605,"Y",102819999,1049183.66326531,2024077522,67469250.7333333,0.0508,2425,834671.143092784,4,17737000,0.2085,0.037,0.0074,"Yes","Yes","Yes",-4,"No"
"14","2003","ARI","NL",3,162,84,78,0.519,"N",80657000,960202.380952381,2128262128,70942070.9333333,0.0379,2429,876188.607657472,10,-22162999,-0.2156,-0.086,-0.0129,"No","No","No",6,"Yes"
"15","2004","ARI","NL",5,162,51,111,0.315,"N",69780750,1368250,2070665943,69022198.1,0.0337,2428,852827.818369028,13,-10876250,-0.1348,-0.204,-0.0042,"No","No","No",3,"Yes"
"16","2005","ARI","NL",2,162,77,85,0.475,"N",62329166,809469.688311688,2188713398,72957113.2666667,0.0285,2430,900705.102057613,17,-7451584,-0.1068,0.16,-0.0052,"No","Yes","No",4,"Yes"
"17","2006","ARI","NL",4,162,76,86,0.469,"N",59684226,785318.763157895,2321472617,77382420.5666667,0.0257,2429,955731.830794566,23,-2644940,-0.0424,-0.00600000000000001,-0.0028,"No","No","No",6,"Yes"
